Report,Rank History
App ID,com.zing.zalo
App,Zalo
Market,Google Play
Countries,Vietnam
Device,-
Start Date,07/21/2012
End Date,02/08/2017
Date Generated,02/07/2017 23:00:39 PST

Platform,Device,Country Name,App ID,App Name,Publisher ID,Publisher Name,Date,Type,Overall,Applications,Communication (Applications),Lifestyle (Applications)
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/10/2013,Downloads,15,13,4,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/11/2013,Downloads,15,13,4,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/12/2013,Downloads,12,11,3,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/13/2013,Downloads,12,11,3,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/14/2013,Downloads,8,7,3,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/15/2013,Downloads,9,8,3,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/16/2013,Downloads,8,7,3,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/17/2013,Downloads,8,7,3,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/18/2013,Downloads,8,7,3,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/19/2013,Downloads,7,6,3,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/20/2013,Downloads,7,6,3,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/21/2013,Downloads,6,5,3,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/22/2013,Downloads,6,5,3,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/23/2013,Downloads,6,5,3,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/24/2013,Downloads,6,5,3,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/25/2013,Downloads,7,5,3,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/26/2013,Downloads,8,6,3,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/27/2013,Downloads,9,7,3,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/28/2013,Downloads,11,7,3,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/29/2013,Downloads,13,8,3,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/30/2013,Downloads,14,9,3,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,01/31/2013,Downloads,15,10,3,0
