Report,Rank History
App ID,com.zing.zalo
App,Zalo
Market,Google Play
Countries,Vietnam
Device,-
Start Date,01/01/2016
End Date,02/08/2017
Date Generated,02/07/2017 22:57:46 PST

Platform,Device,Country Name,App ID,App Name,Publisher ID,Publisher Name,Date,Type,Overall,Applications,Communication (Applications)
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/02/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/03/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/04/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/05/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/06/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/07/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/08/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/09/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/10/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/11/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/12/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/13/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/14/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/15/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/16/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/17/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/18/2016,Downloads,3,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/19/2016,Downloads,3,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/20/2016,Downloads,3,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/21/2016,Downloads,3,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/22/2016,Downloads,3,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/23/2016,Downloads,3,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/24/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/25/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/26/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/27/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/28/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/29/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/30/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,07/31/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/01/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/02/2016,Downloads,3,3,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/03/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/04/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/05/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/06/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/07/2016,Downloads,2,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/08/2016,Downloads,3,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/09/2016,Downloads,3,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/10/2016,Downloads,3,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/11/2016,Downloads,3,2,2
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,08/12/2016,Downloads,3,2,2
